# cc_score, rg_score
4.067796610169491789e-01,3.518518518518518601e-01
2.631578947368420907e-01,3.281250000000000000e-01
3.396226415094339424e-01,3.272727272727272707e-01
3.220338983050847204e-01,2.962962962962962798e-01
2.982456140350877027e-01,3.593750000000000000e-01
3.207547169811320598e-01,1.818181818181818094e-02
