# cc_coherence_metric_3_percent, rg_coherence_metric_3_percent
1.250000000000000000e+01,5.263157894736841591e+00
3.200000000000000000e+01,5.000000000000000000e+00
1.666666666666666430e+01,0.000000000000000000e+00
