Admin View,,,,,,
New user Engaging Platypus joined the chat,,,,,,
New user Svelte Pufferfish joined the chat,,,,,,
2021-3-21T15:11:40.207Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,You have nothing to worry from me :D I am just a big fantasy nerd and proud! Have you watched any good movies lately?,human_2 glue respond,glue
2021-3-21T15:11:43.540Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Svelte Pufferfish,1,I have not watched Terminator...... So no idea,,USER
2021-3-21T15:12:11.129Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,Do you like super hero movies? I'm a huge Marvel fan! Who is your favourite character?,human_1 glue respond,glue
2021-3-21T15:12:15.587Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Engaging Platypus,1,yes bollywood movie last weekend ,,USER
2021-3-21T15:12:35.824Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Engaging Platypus,1,Deadpool,,USER
2021-3-21T15:12:36.845Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Svelte Pufferfish,1,The HULK,,USER
2021-3-21T15:12:39.834Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,"I like Deadpool. He is hilarious. I read that Deadpool 3 is expected to come out this year. Confession: I binge watch series! What streaming service do you prefer? Netflix, Viki, Amazon, Disney+ or any other?",human_2 glue respond,glue
2021-3-21T15:12:42.638Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_2 glue keep quiet,glue
2021-3-21T15:12:59.239Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,Viki has the best collection of Korean romcoms while Netflix has a lot to offer in content and variety. Last Question! Have either of you watched any good series lately?,human_1 glue respond,glue
2021-3-21T15:13:0.126Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Engaging Platypus,1,Amazon ,,USER
2021-3-21T15:13:14.670Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Svelte Pufferfish,1,Amazon,,USER
2021-3-21T15:13:16.51Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,"Regarding Amazon, I heard this news on Reuters, with the headline, Amazon roars back into 1 trillion club, powered by one day delivery boost. Do you want to learn more?",human_2 glue keep quiet,news_bot_v2
2021-3-21T15:13:29.823Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Engaging Platypus,1,Yes,,USER
2021-3-21T15:13:31.150Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,"I saw this headline on Reuters about Amazon. It says, Amazon roars back into 1 trillion club, powered by one day delivery boost. Do you want to learn more?",human_1 glue keep quiet,news_bot_v2
2021-3-21T15:13:41.629Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Engaging Platypus,1,Yes,,USER
2021-3-21T15:13:43.224Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,"Glad you are interested. So, There is no stopping Amazon.coms revenue growth , Wall Street analysts said on Friday.. Shall I say more?",human_2 glue keep quiet,news_bot_v2
2021-3-21T15:13:44.539Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Svelte Pufferfish,1,yes please tell us,,USER
2021-3-21T15:13:46.38Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,"Sure, so The e commerce giant re entered the 1 trillion club after its results crushed expectations, benefiting from investments in faster shipping and a surge in Prime membership.. Shall I go on?",human_2 glue keep quiet,news_bot_v2
2021-3-21T15:14:6.404Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,"Happy to tell you more. So, test, Nearly half of the 51 brokerages covering Amazon raised their 12 month price targets on the companys stock, which was up 9 at 2,036 in early trading.. Should I continue?",human_1 glue respond,news_bot_v2
2021-3-21T15:14:19.837Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Svelte Pufferfish,1,thats interesting please continue,,USER
2021-3-21T15:14:28.408Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Engaging Platypus,1,Yes sure please continue,,USER
2021-3-21T15:14:30.311Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,"This article goes on that In a note titled Not so subtle Reminder Amazon is Still King, Benchmark analysts said Amazon reminded the world of its size and capacity advantage, and raised his price target by 150 to 2,400.. Thats all I know. But would you like to hear another piece of news.",human_1 glue keep quiet,news_bot_v2
2021-3-21T15:14:51.354Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,"That's ok.. , I like to talk about daily events worldwide. There's another interesting bit of news on CNBC. The headline is, Why ordering from Amazon has been so unpredictable during the coronavirus crisis. Shall I tell you more?",human_2 glue respond,news_bot_v2
2021-3-21T15:15:35.418Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Engaging Platypus,1,yes please,,USER
2021-3-21T15:15:41.657Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Svelte Pufferfish,1,I think its quite natural ,,USER
2021-3-21T15:15:43.430Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,"Nice. The story continues that Last month, Amazon started allowing merchants to ship in some nonessential items, but it is still limiting the quantity of items in new shipments.. Should I say some more about this?",human_2 glue keep quiet,news_bot_v2
2021-3-21T15:16:6.220Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,Well that's all I'm programmed to do. I hope you enjoyed the GLUE experience. Bye!,human_1 glue respond,glue
2021-3-21T15:16:26.829Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Engaging Platypus,1,OK bye tc,,USER
2021-3-21T15:16:29.964Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,undefined glue keep quiet,glue
2021-3-21T15:16:39.537Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,Svelte Pufferfish,1,Byee have a good day,,USER
2021-3-21T15:16:42.246Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,Bye. Hope you enjoyed the GLUE expereince,human_2 glue keep quiet,glue
2021-3-21T15:17:1.659Z,http://200fd87e63ea.ngrok.io/webhooks/rest/webhook,GLUE,1,Well that's all I'm programmed to do. I hope you enjoyed the GLUE experience. Bye!,human_1 glue respond,glue
