Admin View,,,,,,
New user Earnest Komono Dragon joined the chat,,,,,,
New user Earnest Badger joined the chat,,,,,,
2021-3-20T16:12:28.910Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,Earnest Badger,1,Hello,,USER
2021-3-20T16:12:30.263Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,Earnest Komono Dragon,1,hello,,USER
2021-3-20T16:12:33.153Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_1,glue
2021-3-20T16:12:35.854Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,GLUE,1,"Hi, I am Glue, a social bot. I am looking forward to talking to you today. Where are you both right now?",human_2,glue
2021-3-20T16:12:52.680Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,Earnest Komono Dragon,1,Edinburgh,,USER
2021-3-20T16:12:56.879Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,Earnest Badger,1,I'm in edinburgh too,,USER
2021-3-20T16:13:1.530Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_2 glue keep quiet,glue
2021-3-20T16:13:11.641Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,Earnest Badger,1,The weather is nice today,,USER
2021-3-20T16:13:16.221Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_1 glue keep quiet,glue
2021-3-20T16:13:24.372Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,Earnest Komono Dragon,1,yes its a sunny day,,USER
2021-3-20T16:13:27.589Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,GLUE,1,silent_response,human_1 glue keep quiet,glue
2021-3-20T16:13:48.913Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,GLUE,1,Oh! You are both in Edinburgh. I am in the cloud. How is the weather in your area? It's always fluffy where I am! Haha,human_2 glue respond,glue
2021-3-20T16:14:44.510Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,Earnest Komono Dragon,1,its sunny here!,,USER
2021-3-20T16:15:9.116Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,GLUE,1,"May I ask, what is your favourite colour and why? Can you give any deep reasons? For example, I like golden colour because it feels like magic.",human_2 glue respond,glue
2021-3-20T16:15:33.910Z,http://2a5c09730097.ngrok.io/webhooks/rest/webhook,Earnest Badger,1,I like purple,,USER
